User,Tweet
@elonmusk,"Yeah, @Jack is right"
@narendramodi,I thank His Majesty the King of Bhutan for his call and warm wishes. Bhutan-Bharat partnership is unique and exemplary. I look forward to continue working together and taking this extraordinary partnership to higher levels.
@ICICIBank,"The captivating sounds of nature. Sounds good, right? Let’s make sure they never fade, by playing our part as #GenerationRestoration. This #WorldEnvironmentDay, tune in to the ongoing efforts of @ICICIFoundation , the CSR arm of ICICI Bank, towards land restoration and water…"
@bhogleharsha,Biggest plus for India today was the form of Rishabh Pant.
@hvgoenka,I admire people like him….having passion for what they are doing
@IrfanPathan,Jasprit Bumrah stating the World Cup with Man of the match award. we missed him so much in the last World Cup.
@bhogleharsha,Have to do something about the pitches. Can't imagine India vs Pakistan on this one.
@ANI,"US President Joe Biden tweets ""Congratulations to Prime Minister Narendra Modi and the National Democratic Alliance on their victory, and the nearly 650 million voters in this historic election. The friendship between our nations is only growing as we unlock a shared future of…"
@bitgetglobal,"Unleash the power of decentralization with @BitgetWallet , the trusted non-custodial #Web3 wallet. Trusted by 20 million users across 168 countries Supports over 100 blockchains, integrating hundreds of DEXs for optimal trading prices Access full ecosystem at your…"
@HHShkMohd,"Congratulations to Prime Minister @narendramodi on his historic re-election for a third term. We trust that India, under his leadership, will maintain its economic progress and continue to build on his remarkable achievements of the past decade. We look forward to further…"
@Bundeskanzler,"Congratulations on your election victory, dear @narendramodi ! We will successfully continue our cooperation to deepen Indo-German relations as well as our cooperation on international and global issues. I look forward to seeing you again soon."
@CricCrazyJohns,"Difficult pitch, Captain stands tall and he smashed fifty from 36 balls. TAKE A BOW, ROHIT."
@MrSinha_,"An RSS man said a very interesting thing today: ""If someone isn't at the polling booth and is enjoying a holiday on polling day, assume that he/she is a BJP voter."" Aprx 30-35% of people don't vote, most (not all) of them are BJP voters, and BJP loses/get less votes due to it."
@aramco,"From conducting ecological studies to establishing a sea turtle rescue center, we continue identifying species in need of protection through our biodiversity conservation efforts #EndangeredSpeciesDay #aramco"
@erbmjha,"Let me share one interesting fact: Assam: - Congress: 37.48% vote share (3 seats) - BJP: 37.43% vote share (9 seats) - Total Muslim voters: 35% - Congress won Dhubri seat by 1,012,476 votes (80% Muslim voters)"
@MeghUpdates,"Only Modi ji matters to us. Even if they offer me the post of Prime Minister, I will not go with Congress. The whole world has seen what Modiji has done for the country. We can reject even the biggest offer for Modi ji. : Pawan Kalyan, President, Janasena Party"
@BCCI,Points In The Bag! #TeamIndia commence their #T20WorldCup campaign with a solid WIN! Scorecard http://bit.ly/INDvIRE-T20WC-24… #INDvIRE
